exexexinseninmotsenmotinsenmotexinsenmotexinsenmotexinexinsenmotsenmotexinsenmotexinsenmotexinsenmot0 0.570561 0.502209 0.000775993 0s
exexexinseninmotinsenmotsenmotexinsenmotexinsenmotexexininsensenmotmotexinsenmotexinsenmotexinsenmot1 0.621562 0.515847 0.00197486 12.8624s
exexinexexsenmotinsenmotininsensenmotmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot2 0.621562 0.510957 0.000509612 12.7321s
exexinexsenmotexinsenmotinsenmotinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot3 0.621562 0.509823 0.00026093 12.8817s
exinsenmotexexexininsenmotsenmotinsenmotexinsenmotexexinsenmotinsenmotexinsenmotexinsenmotexinsenmot4 0.621562 0.501706 0.00051345 12.6973s
exinsenexmotexexinsenmotininsensenmotmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot5 0.621562 0.452967 0.00319646 12.7962s
exinexsenmotinexsenmotinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot6 0.621562 0.500762 0.00118783 12.7964s
exexexininexsenmotsenmotinexsenmotininsenmotsenmotexexinsenmotinsenmotexinsenmotexinsenmotexinsenmot7 0.621562 0.474279 0.00175877 12.8482s
exexexexinseninmotsenmotininsensenmotmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot8 0.621562 0.475236 0.000819423 12.6818s
exexinsenmotexexinsenmotininsensenmotmotexinsenmotexexininsenmotsenmotexinsenmotexinsenmotexinsenmot9 0.621562 0.507131 0.00118662 12.8214s
exexexinexseninmotsenmotinseninmotsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmotexinsenmot10 0.621562 0.507985 0.00345924 12.8125s
