277  1
299  88
308  20
308  59
314  84
314  95
316  85
324  78
329  93
340  91
343  86
345  94
347  33
349  46
354  58
355  21
358  5
365  89
371  78
380  91
387  84
390  86
391  95
392  94
420  91
422  1
424  88
430  85
431  74
432  93
437  86
439  94
442  90
447  84
447  95
449  78
452  89
454  88
459  91
461  1
464  0
465  85
466  20
467  59
468  93
481  86
484  94
486  88
495  90
496  79
497  91
500  84
500  95
503  85
507  93
520  88
522  5
524  89
525  86
528  94
534  91
541  84
542  85
544  1
545  78
548  93
548  94
550  74
551  95
555  2
555  88
558  55
560  70
561  21
562  79
562  84
566  91
568  46
571  90
573  85
576  7
576  28
576  33
584  84
587  2
590  88
590  93
591  72
595  52
597  25
597  95
598  65
599  99
606  84
606  85
610  55
611  79
614  58
619  94
624  49
625  72
625  88
626  2
628  52
628  99
629  84
632  33
632  93
636  61
639  65
640  85
642  70
643  25
649  59
649  95
651  90
652  84
654  94
657  91
660  88
662  20
667  85
669  86
671  1
671  94
672  95
672  99
673  93
676  77
677  84
677  91
679  21
680  0
681  24
682  88
683  9
684  89
688  85
690  27
691  14
693  54
693  80
693  95
697  86
698  7
699  51
699  77
699  78
705  94
708  91
713  0
716  30
720  80
722  27
728  18
729  24
731  14
732  54
